GEM Mine ID,MSHA ID,Country / Area,Mine Name,Mine Name AKAs,Mine Name (Non-ENG),Owners,Owners (Non-ENG),Parent Company,Company HQs,Capacity (Mtpa),Production (Mtpa),Year of Production,Mine Type,Mining Method,"Mine Size
(Km2)","Mine Depth
(m)",Depth Accuracy,Workforce Size,Workforce Accuracy,Coal Type,Coal Grade,Opening Year,Closing Year,Reason for Closure,Mine Site Status,Coalfield,Location,"Prefecture, District","State, Province",Subregion,Region,Latitude,Longitude,Location Accuracy,"Primary Consumer, Destination","Primary Consumer, Destination Name","Primary Consumer, Destination GEM Wiki",Reported Coal Mine Methane Emissions (thousand tonnes CH4),Reported Coal Mine Methane Emissions (thousand tonnes CO2 equivalent),Year of Reported Coal Mine Methane Emissions,Reference Type,Source ID,Has mine boundary and methane emissions sources data,Has associated plume data,Has associated CMM mitigation data
M5576,,Australia,Anglesea Coal Mine,,,Alcoa of Australia Ltd,,Alcoa Inc [60%]; Alumina Limited [40%],Australia,,,,Surface,Open Pit,"5,45",50,Estimate,85,Exact,Lignite,Thermal,1969,2015,Closure of power plant,Rehabilitation,,Anglesea,,Victoria,Australia and New Zealand,Oceania,"144,1699617","-38,39175093",Exact,Coal Plant,Anglesea Power Station,https://www.gem.wiki/Anglesea_power_station,,,,,,N,N,N
M5577,,Australia,Austar Coal Mine,"Southland Coal Mine, Pelton/Ellalong Colliery",,Yancoal Australia Ltd,,Yancoal Australia [100%],Australia,,,,Underground,Longwall,"112,23",900,Exact,43,Exact,Bituminous,Thermal & Met,1916,2021,Economically unviable,Rehabilitation,Newcastle,Cessnock,Hunter Valley,New South Wales,Australia and New Zealand,Oceania,"-32,8985465","151,3060908",Exact,,,,,,,,,N,N,N
M7378,,Australia,Baal Bone mine,,,Wallerawang Collieries Ltd,,Glencore [95%]; Sumitomo Corp [5%],Australia,"2,8",,,Underground & Surface,Longwall,,,,,,Bituminous,Thermal,1983,2019,Reserve exhausted,Rehabilitation,Western Coalfields,Cullen Bullen,,New South Wales,Australia and New Zealand,Oceania,"-33,272565","150,0543591",Exact,,,,,,,,,N,N,N
M1531,,Australia,Cook Colliery Coal Mine,"Cook North, Leichardt",,QCoal,,QCoal,Australia,,"0,288",2025,Underground,Bord and Pillar,,500,Exact,220,Exact,Bituminous,Thermal & Met,1970,2025,Economically unviable,Unknown,Blackwater,Blackwater,,Queensland,Australia and New Zealand,Oceania,"-23,7159074","148,8893157",Exact,Terminal (Export),Port of Gladstone,https://www.gem.wiki/Port_of_Gladstone,"4,9","403,4",2024-25,national government data,,N,N,N
M5578,,Australia,Drayton Coal Mine,"Drayton South Coal Project, Maxwell Infrastructure",,Anglo American [88.2%]; Mitsui Matsushima Australia Pty Ltd [3.8%]; Mitsui Mining Australia [3%]; Hyundai Australia [2.5%]; Daesung Australia [2.5%],,,Australia,8,"1,167",2016,Surface,Open Pit,"17,68",60,Estimate,200,Exact,Bituminous,Thermal,1983,2016,Reserve exhausted,Rehabilitation,Hunter,Muswellbrook,Hunter Valley,New South Wales,Australia and New Zealand,Oceania,"-32,3551139","150,9007463",Exact,Terminal (Export),Port of Newcastle,https://www.gem.wiki/Port_of_Newcastle,,,,,,N,N,N
M3009,,Australia,Duralie Coal Mine,,,Duralie Coal Pty Ltd,,Yancoal Australia,"Australia, Japan",,"0,8",,Surface,Open Pit,"4,06",60,Estimate,,,Bituminous,Met,2003,2021,End of mine life,Rehabilitation,,Gloucester,Hunter Valley,New South Wales,Australia and New Zealand,Oceania,"-32,2972426","151,93447",Approximate,Terminal (Export),Port of Newcastle,https://www.gem.wiki/Port_of_Newcastle,,,,,,N,N,N
M5579,,Australia,Hazelwood Mine,,,ENGIE Hazelwood,,ENGIE Australia [72%]; Mitsui & Co. [28%],,,"15,3",,Surface,Open Pit,"35,54",50,Estimate,,,Lignite,Thermal,1971,2017,Closure of power plant,Rehabilitation,,Morwell,Latrobe Valley,Victoria,Australia and New Zealand,Oceania,"-38,254628","146,377802",Exact,Coal Plant,Hazelwood Power Station,https://www.gem.wiki/Hazelwood_power_station,,,,,,N,N,N
M4354,,Australia,Integra Underground Mine,,,HV Coking Coal Pty Limited,,Glencore,Switzerland,3,"0,574",2024,Underground,Longwall,27,500,Estimate,20,Exact,Bituminous,Met,1999,2024,Safety hazards,Unknown,Hunter,Singleton,,New South Wales,Australia and New Zealand,Oceania,"-32,4647407","151,1307373",Exact,,,,"5,4","446,5",2024-25,national government data,,N,Y,Y
M1784,,Australia,Jeebropilly Mine,West Moreton,,Jeebropilly Collieries Pty Ltd,,New Hope Group [100%],Australia,,"0,7",2019,Surface,Open Pit,7,50,Estimate,100,Exact,Subbituminous,Thermal,1982,2019,Reserve exhausted,Rehabilitation,Ipswich,Amberley,West Moreton,Queensland,Australia and New Zealand,Oceania,"-27,652579","152,6591745",Exact,Terminal (Export),,,,,,,,N,N,N
M1781,,Australia,Kimbolton Coal Mine,Hamilton Coal Mine,,Australian Cement Holdings Pty Ltd,,Cement Australia,Australia,,"0,05",2003,Surface,Open Pit,"1,75",60,Estimate,,Exact,Anthracite,Thermal,1999,,,Unknown,Bowen Basin,Hamilton,,Tasmania,Australia and New Zealand,Oceania,"-42,538964","146,781461",Exact,Other Industrial,Cement Australia at Railton,,,,,,,N,N,N
